,curve_id,curve_type
167,985521003007,managed_species_prop_PLC
168,985521003008,managed_species_prop_SS
169,985521003009,managed_species_prop_YC
170,985502003,unmanaged
171,985502003001,unmanaged_species_prop_BA
172,985502003002,unmanaged_species_prop_CW
173,985502003003,unmanaged_species_prop_DR
174,985502003004,unmanaged_species_prop_FDC
175,985502003005,unmanaged_species_prop_HW
176,985502003006,unmanaged_species_prop_PL
177,985502003007,unmanaged_species_prop_PLC
178,985502003008,unmanaged_species_prop_SS
179,985502003009,unmanaged_species_prop_YC
180,985522003,managed
181,985522003001,managed_species_prop_BA
182,985522003002,managed_species_prop_CW
183,985522003003,managed_species_prop_DR
184,985522003004,managed_species_prop_FDC
185,985522003005,managed_species_prop_HW
186,985522003006,managed_species_prop_PL
187,985522003007,managed_species_prop_PLC
188,985522003008,managed_species_prop_SS
189,985522003009,managed_species_prop_YC
190,985503003,unmanaged
191,985503003001,unmanaged_species_prop_BA
192,985503003002,unmanaged_species_prop_CW
193,985503003003,unmanaged_species_prop_DR
194,985503003004,unmanaged_species_prop_FDC
195,985503003005,unmanaged_species_prop_HW
196,985503003006,unmanaged_species_prop_PL
197,985503003007,unmanaged_species_prop_PLC
198,985503003008,unmanaged_species_prop_SS
199,985503003009,unmanaged_species_prop_YC
200,985523003,managed
201,985523003001,managed_species_prop_BA
202,985523003002,managed_species_prop_CW
203,985523003003,managed_species_prop_DR
204,985523003004,managed_species_prop_FDC
205,985523003005,managed_species_prop_HW
206,985523003006,managed_species_prop_PL
207,985523003007,managed_species_prop_PLC
208,985523003008,managed_species_prop_SS
209,985523003009,managed_species_prop_YC
210,985501004,unmanaged
211,985501004001,unmanaged_species_prop_BA
212,985501004002,unmanaged_species_prop_CW
213,985501004003,unmanaged_species_prop_DR
214,985501004004,unmanaged_species_prop_FDC
215,985501004005,unmanaged_species_prop_HW
216,985501004006,unmanaged_species_prop_PL
217,985501004007,unmanaged_species_prop_PLC
218,985501004008,unmanaged_species_prop_SS
219,985501004009,unmanaged_species_prop_YC
220,985502004,unmanaged
221,985502004001,unmanaged_species_prop_BA
222,985502004002,unmanaged_species_prop_CW
223,985502004003,unmanaged_species_prop_DR
224,985502004004,unmanaged_species_prop_FDC
225,985502004005,unmanaged_species_prop_HW
226,985502004006,unmanaged_species_prop_PL
227,985502004007,unmanaged_species_prop_PLC
228,985502004008,unmanaged_species_prop_SS
229,985502004009,unmanaged_species_prop_YC
230,985522004,managed
231,985522004001,managed_species_prop_BA
232,985522004002,managed_species_prop_CW
233,985522004003,managed_species_prop_DR
234,985522004004,managed_species_prop_FDC
235,985522004005,managed_species_prop_HW
236,985522004006,managed_species_prop_PL
237,985522004007,managed_species_prop_PLC
238,985522004008,managed_species_prop_SS
239,985522004009,managed_species_prop_YC
240,985503004,unmanaged
241,985503004001,unmanaged_species_prop_BA
242,985503004002,unmanaged_species_prop_CW
243,985503004003,unmanaged_species_prop_DR
244,985503004004,unmanaged_species_prop_FDC
245,985503004005,unmanaged_species_prop_HW
246,985503004006,unmanaged_species_prop_PL
247,985503004007,unmanaged_species_prop_PLC
248,985503004008,unmanaged_species_prop_SS
249,985503004009,unmanaged_species_prop_YC
250,985501005,unmanaged
251,985501005001,unmanaged_species_prop_BA
252,985501005002,unmanaged_species_prop_CW
253,985501005003,unmanaged_species_prop_DR
254,985501005004,unmanaged_species_prop_FDC
255,985501005005,unmanaged_species_prop_HW
256,985501005006,unmanaged_species_prop_PL
257,985501005007,unmanaged_species_prop_PLC
258,985501005008,unmanaged_species_prop_SS
259,985501005009,unmanaged_species_prop_YC
260,985502005,unmanaged
261,985502005001,unmanaged_species_prop_BA
262,985502005002,unmanaged_species_prop_CW
263,985502005003,unmanaged_species_prop_DR
264,985502005004,unmanaged_species_prop_FDC
265,985502005005,unmanaged_species_prop_HW
266,985502005006,unmanaged_species_prop_PL
267,985502005007,unmanaged_species_prop_PLC
268,985502005008,unmanaged_species_prop_SS
269,985502005009,unmanaged_species_prop_YC
270,985522005,managed
271,985522005001,managed_species_prop_BA
272,985522005002,managed_species_prop_CW
273,985522005003,managed_species_prop_DR
274,985522005004,managed_species_prop_FDC
275,985522005005,managed_species_prop_HW
276,985522005006,managed_species_prop_PL
277,985522005007,managed_species_prop_PLC
278,985522005008,managed_species_prop_SS
279,985522005009,managed_species_prop_YC
280,985503005,unmanaged
