TARGET,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10,Period 11,Period 12,Period 13,Period 14,Period 15,Period 16,Period 17,Period 18,Period 19,Period 20,Period 21,Period 22,Period 23,Period 24,Period 25,Period 26,Period 27,Period 28,Period 29,Period 30
feature.Yield.managed.Total,258842.8125,238463.0625,223664.84375,254003.4375,352562.46875,281723.96875,255831.34375,240204.46875,199603.0,200728.5625,376899.3125,256375.21875,256314.75,235246.5,180832.28125,252096.0,342353.09375,235811.71875,260576.4375,238622.96875,199742.03125,249394.125,397774.84375,283727.1875,221938.6875,231005.0625,209792.03125,212876.71875,354016.4375,213033.125
patch.regen.0_max.area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch.regen.max_plus.area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
