BLOCK,DELTA,AGE,TYPE,TREATMENT
204,60,58,MANAGED,CC
204,120,60,MANAGED,CC
204,180,60,MANAGED,CC
204,240,60,MANAGED,CC
204,300,60,MANAGED,CC
205,4,111,MANAGED,CC
205,88,84,MANAGED,CC
205,170,82,MANAGED,CC
205,260,90,MANAGED,CC
206,2,109,MANAGED,CC
206,60,58,MANAGED,CC
206,120,60,MANAGED,CC
206,180,60,MANAGED,CC
206,240,60,MANAGED,CC
206,300,60,MANAGED,CC
207,2,59,MANAGED,CC
207,60,58,MANAGED,CC
207,120,60,MANAGED,CC
207,180,60,MANAGED,CC
207,240,60,MANAGED,CC
207,300,60,MANAGED,CC
208,30,77,MANAGED,CC
208,90,60,MANAGED,CC
208,150,60,MANAGED,CC
208,210,60,MANAGED,CC
208,270,60,MANAGED,CC
209,6,313,MANAGED,CC
209,88,82,MANAGED,CC
209,170,82,MANAGED,CC
209,260,90,MANAGED,CC
210,4,131,MANAGED,CC
210,88,84,MANAGED,CC
210,170,82,MANAGED,CC
210,260,90,MANAGED,CC
211,10,137,MANAGED,CC
211,90,80,MANAGED,CC
211,170,80,MANAGED,CC
211,250,80,MANAGED,CC
212,2,79,MANAGED,CC
212,60,58,MANAGED,CC
212,120,60,MANAGED,CC
212,180,60,MANAGED,CC
212,240,60,MANAGED,CC
212,300,60,MANAGED,CC
213,10,67,MANAGED,CC
213,80,70,MANAGED,CC
213,140,60,MANAGED,CC
213,200,60,MANAGED,CC
213,260,60,MANAGED,CC
214,10,367,MANAGED,CC
214,90,80,MANAGED,CC
214,170,80,MANAGED,CC
214,250,80,MANAGED,CC
215,4,281,MANAGED,CC
215,80,76,MANAGED,CC
215,150,70,MANAGED,CC
215,218,68,MANAGED,CC
215,280,62,MANAGED,CC
216,2,109,MANAGED,CC
216,60,58,MANAGED,CC
216,120,60,MANAGED,CC
216,180,60,MANAGED,CC
216,240,60,MANAGED,CC
216,300,60,MANAGED,CC
217,6,63,MANAGED,CC
217,68,62,MANAGED,CC
217,130,62,MANAGED,CC
217,200,70,MANAGED,CC
217,270,70,MANAGED,CC
218,10,137,MANAGED,CC
218,90,80,MANAGED,CC
218,170,80,MANAGED,CC
218,250,80,MANAGED,CC
